,w,w_ei,w_e1,w_g0,w_g5,w_d5,w_d2
0,330.973668,115.046137,115.488977,119.499468,13.086253,103.69393,64.360932
1,50.543405,135.815635,119.922707,9.605229,5.038954,113.769476,73.972281
2,15.667097,69.307279,112.961807,6.177909,4.243277,106.846885,97.523637
3,8.971393,85.249366,109.924015,5.659427,3.840077,125.100051,85.862944
4,5.824041,98.3400656,77.903363,4.793495,4.084315,88.883765,83.875051
5,5.237485,54.518155,76.276251,8.591061,3.936775,95.954316,88.164729
6,4.645546,77.977747,65.783806,16.978483,5.712612,92.8211,90.289229
7,3.442955,75.566474,73.557018,5.834903,4.651274,67.055703,91.900884
8,3.561596,99.948563,55.646207,7.311219,7.204126,62.227868,92.131775
9,3.261248,86.956616,46.765772,4.606133,3.795671,68.943506,92.192355
10,3.123788,74.016753,28.703611,5.556375,6.617303,57.16119,88.981254
11,3.909022,25.735131,31.419098,3.688352,9.674774,64.040495,87.656766
12,3.99493,15.868179,66.357504,3.741274,11.822972,90.63042,85.521648
13,4.371167,17.557551,35.045231,9.668,5.447025,72.753775,85.425807
14,3.364666,13.106155,46.538636,4.626775,5.477192,87.990302,70.816915
15,3.141504,11.106665,24.201723,7.189538,7.325479,76.925859,74.164922
16,4.158193,8.873543,46.623361,4.90186,6.450725,46.342561,62.211872
17,3.654223,8.31086,28.115869,4.59687,5.039492,59.501245,54.012363
18,4.094774,6.934869,33.688996,10.518672,10.65195,49.180707,63.554226
19,3.162518,7.239284,28.925475,4.156813,7.583532,58.623829,50.806561
20,4.632165,6.289313,29.881649,6.912389,8.648984,46.262057,47.396915
21,3.675068,5.404124,35.930802,4.116446,6.782664,41.94541,45.655677
22,3.363105,5.663619,26.757306,10.248413,8.370575,41.967133,38.305451
23,3.517685,4.607939,11.697192,5.740106,4.447902,23.781345,42.968733
24,3.617578,4.04245,11.144022,17.27842,10.944239,27.933413,48.21368
25,3.661222,2.874416,4.000574,19.77856,7.06312,52.960574,34.367412
26,3.133706,3.393947,4.103513,13.392291,9.2887,40.716939,41.488516
27,3.065915,3.743434,3.837394,20.527988,6.815936,43.72412,40.951647
28,5.82941,3.227642,3.336301,5.869229,10.414426,35.179323,32.434465
29,4.114525,4.938427,3.559687,5.752629,9.271071,33.970436,29.407487
30,3.261534,3.36049,5.580146,3.829445,9.510125,19.439111,39.061096
31,3.005798,3.312769,4.714727,12.96728,6.436025,13.721178,40.536302
32,4.065738,2.983424,3.677709,9.399878,7.139548,11.180572,43.16616
33,4.836853,3.537512,3.165642,8.862663,8.392066,24.524561,35.404237
34,3.39274,4.944096,3.291198,14.2217,9.200596,10.693371,29.93432
35,3.880125,3.252452,5.333414,11.390906,6.940027,8.685463,36.309038
36,3.516368,2.967736,3.460581,21.428033,10.278744,8.620077,41.54004
37,4.205904,3.34909,3.042354,8.782858,8.834846,8.772279,31.717587
38,2.988169,2.680204,3.617119,10.871863,11.953879,18.120939,35.777103
39,4.504382,3.837873,3.63249,11.51363,8.34431,16.842236,32.475174
40,3.705647,4.072182,3.10819,6.383784,10.675158,8.020797,35.36864
41,4.126474,4.384581,4.24749,6.41807,6.730385,7.023316,21.898909
42,6.904512,6.924083,4.106596,12.945844,5.898206,6.638949,18.371008
43,4.605317,23.238704,4.253929,13.31717,7.704299,6.323656,42.556334
44,3.798614,3.934755,5.754697,12.324172,9.090359,8.39746,26.26639
45,4.814728,3.233068,4.814728,11.961536,7.11013,6.585105,22.057799
46,3.294867,3.845793,3.294867,15.623663,5.830006,6.108246,24.547476
47,3.377917,10.542963,3.377917,10.903967,5.995175,7.379199,38.410167
48,3.029889,3.84225,3.029889,9.297763,6.475648,5.179781,22.453884
49,2.832501,4.836348,2.832501,8.898156,13.213749,4.812338,27.683674
50,3.413338,3.928582,3.413338,14.111209,5.690968,4.224154,20.240647
51,3.544909,3.394034,3.544909,10.493779,9.212605,4.245433,8.358507
52,4.311244,3.980885,4.311244,8.909354,5.318053,3.739772,27.036803
53,2.984156,3.311022,2.984156,11.960806,7.15545,3.530936,38.602792
54,4.311455,3.668274,4.311455,17.237952,6.857748,2.804865,23.537079
55,5.402748,3.389833,5.402748,10.862708,11.820355,2.863502,30.007518
56,4.663702,3.300874,4.663702,13.370468,10.772041,4.346581,26.333019
57,3.388393,2.873403,3.388393,10.721853,6.785441,5.456211,31.02267
58,3.519386,3.555445,3.519386,11.406112,11.181407,2.926934,24.983158
59,2.979047,3.395718,2.979047,12.084919,9.741046,2.907456,20.721399
60,3.238401,3.873619,3.238401,18.967821,8.784907,3.415247,20.694936
61,3.157803,3.316714,3.157803,10.101547,12.952153,2.936204,14.918918
62,4.430326,3.740341,4.430326,9.219158,8.044574,2.66494,15.542745
63,4.611478,3.284958,4.611478,11.302845,6.116647,3.176027,24.623816
64,3.611974,23.138694,3.611974,10.578778,9.754189,2.630944,11.883543
65,3.988599,3.708415,3.988599,18.607714,6.166981,2.82988,17.604119
66,3.964444,3.083148,3.964444,17.229727,7.465869,2.779504,20.824127
67,3.33341,5.019851,3.33341,13.646365,8.710426,2.711859,25.480745
68,3.264018,7.677423,3.264018,12.492416,7.882481,3.089054,15.644072
69,3.203599,3.139695,3.203599,9.693608,9.662444,2.670021,5.954332
